Time,Open,High,Low,Close,Volume,
2022-01-05 14:00:00, 46436.09, 46830, 46137.2, 46699.32, 1065.48697938,
2022-01-05 15:00:00, 46702.61, 46826.61, 46379.89, 46629.7, 661.99210181,
2022-01-05 16:00:00, 46632.22, 46696.53, 46278.88, 46297.89, 696.78108046,
2022-01-05 17:00:00, 46297.89, 46470.07, 45999.66, 46007.5, 776.70770995,
2022-01-05 18:00:00, 46007.5, 46277.92, 45533.35, 45917.49, 1627.66717356,
2022-01-05 19:00:00, 45917.48, 46112.95, 44500, 44665, 3222.31216942,
2022-01-05 20:00:00, 44665, 44828.74, 43705, 43948.01, 4167.05737293,
2022-01-05 21:00:00, 43945.78, 44307.21, 43355, 43588.83, 2197.10316406,
2022-01-05 22:00:00, 43587.62, 43805.33, 42500, 43433.04, 3108.84373581,
2022-01-05 23:00:00, 43431.99, 43722.29, 43240.02, 43436.04, 1545.14279652,
2022-01-06 00:00:00, 43446.34, 43773.06, 43268.74, 43688.24, 957.11518127,
2022-01-06 01:00:00, 43684.43, 43794.5, 43262, 43548.44, 943.42502225,
2022-01-06 02:00:00, 43541.81, 43615.25, 43135.49, 43254.32, 885.61430886,
2022-01-06 03:00:00, 43254.32, 43309.34, 42815, 42825.2, 1085.18219289,
2022-01-06 04:00:00, 42832.08, 43139.35, 42584.15, 43024.73, 1192.85266044,
2022-01-06 05:00:00, 43024.73, 43240.22, 42792.46, 43047.28, 710.02110125,
2022-01-06 06:00:00, 43048.04, 43230.73, 42894.62, 43081.28, 463.75594314,
2022-01-06 07:00:00, 43091.2, 43264.4, 42971.67, 43227.81, 443.74480463,
2022-01-06 08:00:00, 43228.6, 43261.56, 42910.5, 43052.55, 568.53608528,
2022-01-06 09:00:00, 43051.86, 43084.76, 42432.99, 42583.42, 1205.29371965,
2022-01-06 10:00:00, 42589.7, 42938.94, 42559.76, 42882.77, 622.65129022,
2022-01-06 11:00:00, 42882.76, 42950.38, 42678.32, 42860.16, 492.61043109,
2022-01-06 12:00:00, 42858.37, 43056.14, 42619.2, 43048.61, 596.02307148,
2022-01-06 13:00:00, 43054.29, 43195.32, 42900, 43143.83, 808.81456605,
2022-01-06 14:00:00, 43143.84, 43230, 42750, 42786.39, 1071.46564394,
2022-01-06 15:00:00, 42792.25, 43000, 42643.55, 42938.36, 1393.74084267,
2022-01-06 16:00:00, 42940.47, 43106.28, 42743.99, 42876.79, 1012.85070347,
2022-01-06 17:00:00, 42876.48, 43179.66, 42789.01, 43011.02, 1162.06157393,
2022-01-06 18:00:00, 43007.1, 43427.5, 42980.15, 43385.85, 1157.07150176,
2022-01-06 19:00:00, 43385.85, 43516.77, 43236.97, 43441.82, 1040.25857703,
2022-01-06 20:00:00, 43441.82, 43594.12, 43104.59, 43214.64, 1089.92052419,
2022-01-06 21:00:00, 43217.1, 43250, 43062.67, 43114.04, 895.41801467,
2022-01-06 22:00:00, 43112.31, 43230, 43000, 43170.79, 489.95813005,
2022-01-06 23:00:00, 43171.5, 43230, 43049.32, 43083.76, 491.66195968,
2022-01-07 00:00:00, 43081.79, 43144.72, 42724.09, 42768.35, 823.05893979,
2022-01-07 01:00:00, 42768.39, 43024.52, 42765.56, 43000.81, 622.56240026,
2022-01-07 02:00:00, 43000.81, 43024.62, 42761.16, 42779.33, 450.42980354,
2022-01-07 03:00:00, 42780.65, 42813.64, 41567, 41797.85, 2441.58446607,
2022-01-07 04:00:00, 41798.69, 41892.22, 41000, 41689.99, 2924.02766553,
2022-01-07 05:00:00, 41691.63, 41945.65, 41522.31, 41834.3, 1316.78044676,
2022-01-07 06:00:00, 41834.97, 41843.29, 41389.3, 41507.76, 828.39495688,
2022-01-07 07:00:00, 41505.97, 41700, 41200, 41683.68, 846.92927131,
